,model_name,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,val_score,accuracy,f1_micro,f1_macro,f1_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted
128,Random Forest Classifier,random_sampling,True,50,True,"[0.6, 0.2, 0.2]",249,81,87,0.533,0.563,0.563,0.516,0.516,0.563,0.511,0.511,0.563,0.563,0.563
129,Random Forest Classifier,random_sampling,True,50,True,"[0.8, 0.1, 0.1]",333,39,45,0.623,0.622,0.622,0.592,0.592,0.622,0.635,0.635,0.622,0.622,0.622
130,Random Forest Classifier,random_sampling,True,50,False,"[0.5, 0.25, 0.25]",207,102,108,0.575,0.565,0.565,0.547,0.547,0.565,0.544,0.544,0.565,0.565,0.565
131,Random Forest Classifier,random_sampling,True,50,False,"[0.6, 0.2, 0.2]",249,81,87,0.533,0.598,0.598,0.567,0.567,0.598,0.586,0.586,0.598,0.598,0.598
132,Random Forest Classifier,random_sampling,True,50,False,"[0.8, 0.1, 0.1]",333,39,45,0.508,0.533,0.533,0.511,0.511,0.533,0.505,0.505,0.533,0.533,0.533
133,Random Forest Classifier,random_sampling,True,100,True,"[0.5, 0.25, 0.25]",207,102,108,0.515,0.611,0.611,0.586,0.586,0.611,0.591,0.591,0.611,0.611,0.611
134,Random Forest Classifier,random_sampling,True,100,True,"[0.6, 0.2, 0.2]",249,81,87,0.543,0.586,0.586,0.574,0.574,0.586,0.582,0.582,0.586,0.586,0.586
135,Random Forest Classifier,random_sampling,True,100,True,"[0.8, 0.1, 0.1]",333,39,45,0.676,0.689,0.689,0.677,0.677,0.689,0.741,0.741,0.689,0.689,0.689
136,Random Forest Classifier,random_sampling,True,100,False,"[0.5, 0.25, 0.25]",207,102,108,0.647,0.574,0.574,0.562,0.562,0.574,0.562,0.562,0.574,0.574,0.574
137,Random Forest Classifier,random_sampling,True,100,False,"[0.6, 0.2, 0.2]",249,81,87,0.514,0.563,0.563,0.527,0.527,0.563,0.541,0.541,0.563,0.563,0.563
138,Random Forest Classifier,random_sampling,True,100,False,"[0.8, 0.1, 0.1]",333,39,45,0.575,0.578,0.578,0.563,0.563,0.578,0.559,0.559,0.578,0.578,0.578
